num,fecha,fecha_pub,cant_arts,firma,otros_firman,pub,num_ed_pub,pag_pub,anho_tomo,nro_tomo,anexo,ley_promul,ley_vetada,parte_vetada,ratif_x_ley,DNU,reglamenta_Ley,tema,titulo,estado,modif_por,modif_a,link_pub,ref_norm,obs,fecha_carga,tipeo_dictado,deroga_dec,derogado_por,pendiente,obs_tomo
341,25/03/2010,04/01/2011,4,"Herrera, L. B.","Guerra, Macchi",BO,10841,2,2011,1,,,,,,,,Autoriza entrega de fondos a la Policía de la Provincia para operativo de seguridad en Semana Santa en “Señor de la Peña”.,,,,,,Ley 6425 ,,15/12/2016,M.R.,,,,
346,26/03/2010,04/01/2011,6,"Herrera, L. B.","Guerra, Macchi",BO,10841,2,2011,1,,,,,,,,Dispone asistir financieramente en calidad de préstamo al productor agropecuario Santiago Miguel Romero.,,,,,,,,15/12/2016,M.R.,,,,
356,29/03/2010,04/01/2011,4,"Casas, S. G.","Guerra, Macchi",BO,10841,3,2011,1,,,,,,,,"Convierte el contrato de Locación de Servicio del Contador Calderón Molina, Cristian Manuel, en el cargo de “Planta Transitoria”, para prestar servicios en la Dirección General de Ingresos Provinciales del Ministerio de Hacienda, revistiendo enla Categoría 18 – Agrupamiento Profesional",,,,,,,,15/12/2016,M.R.,,,,
366,30/03/2010,04/01/2011,4,"Herrera, L. B.","Guerra, Macchi",BO,10841,3,2011,1,,,,,,,,Autoriza al Ministerio de Hacienda a concretar la entrega de un anticipo de fondos a la DirecciónGeneral Operativa del Servicio Público de Provisión de Agua Potable y Desagües Cloacales,,,,,,,,15/12/2016,M.R.,,,,
1819,28/12/2010,07/01/2011,5,"Herrera, L. B.",Alvarez,BO,10842,2,2011,1,,8926,8926,art. 4º,,,,,,,,,,,La numeración de los artículos  omite el “Artículo 3º”,15/12/2016,M.R.,,,,
1769,23/12/2010,07/01/2011,5,"Herrera, L. B.",Luna,BO,10842,4,2011,1,,8929,8929,"art. 3º,  parcial;  art. 4º, total; art. 5º, parcial; art. 7º, total",,,,,,,,,,,,15/12/2016,M.R.,,,,
1768,23/12/2010,07/01/2011,3,"Herrera, L. B.","Tineo, Luna, Soria",BO,10842,4,2011,1,,,8892,Art. 4,,,,,,,,,,,,15/12/2016,M.R.,,,,
301,08/03/2010,07/01/2011,4,"Herrera, L. B.","Guerra, Macchi",BO,10842,5,2011,1,,,,,,,,Destina Trescientos mil pesos a favor de “EMSE” Energía y Minerales Sociedad del Estado- en concepto de aporte a cuenta de futuros aumentos de capital,,,,,,,,15/12/2016,M.R.,,,,
311,11/03/2010,07/01/2011,5,"Herrera, L. B.","Flores, Guerra",BO,10842,5,2011,1,,,,,,,,"Encomienda a los Ministros de Educación, Ciencia y Tecnología, y de Hacienda, trámites ante el Banco de la Nación Argentina, por apertura de la carta de crédito por U$S 10.042.400, a favor de  One Laptop Per Child Association Inc. (OLPC) en virtud  del convenio celebrado en la ciudad de Montevideo.",,,,,,"Ley 8684, Dec. 107/2010",,15/12/2016,M.R.,,,,
367,30/03/2010,07/01/2011,4,"Herrera, L. B.","Guerra, Macchi",BO,10842,6,2011,1,,,,,,,,"Destina $ 1.400.000,00, a favor de Aguas Riojanas
SAPEM, como aporte a cuenta de futuros aumentos
de capital.",,,,,,,,15/12/2016,M.R.,,,,
